Epoch: 895/1001, Batch: 24/35, Loss: 1.935092, img_l1_loss: 0.160450, img_pt_c_loss: 0.063490, svg_total_loss: 0.851026, svg_cmd_loss: 0.037180, svg_args_loss: 0.705357, svg_smooth_loss: 0.103258, svg_aux_loss: 0.005232, lr: 0.000175, Step: 31350
Epoch: 897/1001, Batch: 4/35, Loss: 2.091344, img_l1_loss: 0.171265, img_pt_c_loss: 0.067787, svg_total_loss: 0.924951, svg_cmd_loss: 0.043961, svg_args_loss: 0.781569, svg_smooth_loss: 0.096038, svg_aux_loss: 0.003384, lr: 0.000174, Step: 31400
Epoch: 898/1001, Batch: 19/35, Loss: 2.173010, img_l1_loss: 0.163923, img_pt_c_loss: 0.067056, svg_total_loss: 0.975019, svg_cmd_loss: 0.068680, svg_args_loss: 0.787291, svg_smooth_loss: 0.116531, svg_aux_loss: 0.002516, lr: 0.000173, Step: 31450
Epoch: 899/1001, Batch: 34/35, Loss: 2.194287, img_l1_loss: 0.170961, img_pt_c_loss: 0.065769, svg_total_loss: 0.978894, svg_cmd_loss: 0.052108, svg_args_loss: 0.793663, svg_smooth_loss: 0.128339, svg_aux_loss: 0.004784, lr: 0.000173, Step: 31500
Epoch: 901/1001, Batch: 14/35, Loss: 1.734471, img_l1_loss: 0.145295, img_pt_c_loss: 0.064109, svg_total_loss: 0.768947, svg_cmd_loss: 0.024052, svg_args_loss: 0.659229, svg_smooth_loss: 0.083523, svg_aux_loss: 0.002143, lr: 0.000172, Step: 31550
Epoch: 902/1001, Batch: 29/35, Loss: 1.817797, img_l1_loss: 0.145708, img_pt_c_loss: 0.061925, svg_total_loss: 0.816247, svg_cmd_loss: 0.024830, svg_args_loss: 0.691622, svg_smooth_loss: 0.098639, svg_aux_loss: 0.001156, lr: 0.000171, Step: 31600
Epoch: 904/1001, Batch: 9/35, Loss: 1.836902, img_l1_loss: 0.141426, img_pt_c_loss: 0.063199, svg_total_loss: 0.816908, svg_cmd_loss: 0.040021, svg_args_loss: 0.687577, svg_smooth_loss: 0.087653, svg_aux_loss: 0.001658, lr: 0.000170, Step: 31650
Epoch: 905/1001, Batch: 24/35, Loss: 1.692737, img_l1_loss: 0.125686, img_pt_c_loss: 0.056018, svg_total_loss: 0.770974, svg_cmd_loss: 0.048700, svg_args_loss: 0.612766, svg_smooth_loss: 0.107617, svg_aux_loss: 0.001890, lr: 0.000170, Step: 31700
Epoch: 907/1001, Batch: 4/35, Loss: 1.773009, img_l1_loss: 0.128379, img_pt_c_loss: 0.055116, svg_total_loss: 0.817086, svg_cmd_loss: 0.019612, svg_args_loss: 0.670001, svg_smooth_loss: 0.126940, svg_aux_loss: 0.000532, lr: 0.000169, Step: 31750
Epoch: 908/1001, Batch: 19/35, Loss: 1.857647, img_l1_loss: 0.125105, img_pt_c_loss: 0.059047, svg_total_loss: 0.847677, svg_cmd_loss: 0.046554, svg_args_loss: 0.681982, svg_smooth_loss: 0.111334, svg_aux_loss: 0.007807, lr: 0.000168, Step: 31800
Epoch: 909/1001, Batch: 34/35, Loss: 1.703114, img_l1_loss: 0.127007, img_pt_c_loss: 0.057895, svg_total_loss: 0.783837, svg_cmd_loss: 0.042017, svg_args_loss: 0.632007, svg_smooth_loss: 0.108198, svg_aux_loss: 0.001615, lr: 0.000168, Step: 31850
Epoch: 911/1001, Batch: 14/35, Loss: 1.539574, img_l1_loss: 0.138980, img_pt_c_loss: 0.056547, svg_total_loss: 0.689406, svg_cmd_loss: 0.027018, svg_args_loss: 0.568563, svg_smooth_loss: 0.093181, svg_aux_loss: 0.000643, lr: 0.000167, Step: 31900
Epoch: 912/1001, Batch: 29/35, Loss: 1.664805, img_l1_loss: 0.137986, img_pt_c_loss: 0.060232, svg_total_loss: 0.740812, svg_cmd_loss: 0.020314, svg_args_loss: 0.620755, svg_smooth_loss: 0.098565, svg_aux_loss: 0.001178, lr: 0.000166, Step: 31950
Epoch: 914/1001, Batch: 9/35, Loss: 1.551832, img_l1_loss: 0.121077, img_pt_c_loss: 0.055347, svg_total_loss: 0.708305, svg_cmd_loss: 0.035359, svg_args_loss: 0.574578, svg_smooth_loss: 0.095790, svg_aux_loss: 0.002578, lr: 0.000165, Step: 32000
Epoch: 915/1001, Batch: 24/35, Loss: 1.613995, img_l1_loss: 0.128518, img_pt_c_loss: 0.053435, svg_total_loss: 0.730997, svg_cmd_loss: 0.037863, svg_args_loss: 0.593685, svg_smooth_loss: 0.097231, svg_aux_loss: 0.002217, lr: 0.000165, Step: 32050
Epoch: 917/1001, Batch: 4/35, Loss: 1.759619, img_l1_loss: 0.125188, img_pt_c_loss: 0.055840, svg_total_loss: 0.807524, svg_cmd_loss: 0.044511, svg_args_loss: 0.636661, svg_smooth_loss: 0.122151, svg_aux_loss: 0.004202, lr: 0.000164, Step: 32100
